record_id,name,email,phone,age,zip_code,gender,job_title,medical_condition,salary
1,Mark Johnson,mark.johnson98@yahoo.com,(133) 218-1960,36,94145,Male,Data Analyst,No Condition,78642
2,Brandon Hall,brandon.hall77@hotmail.com,(108) 386-3794,51,10041,Male,Accountant,Asthma,67292
3,Peter Moore,peter.moore85@yahoo.com,(654) 235-1161,54,75215,Male,Data Analyst,Hypertension,76557
4,Ryan Munoz,ryan.munoz79@gmail.com,(478) 161-8495,49,98101,Male,Nurse,No Condition,79932
5,Michele Williams,michele.williams15@gmail.com,(641) 316-4752,26,10041,Female,Teacher,No Condition,73819
6,Heather Santiago,heather.santiago63@hotmail.com,(919) 283-2764,37,94131,Female,Physician,No Condition,231444
7,Colleen Nguyen,colleen.nguyen25@gmail.com,(430) 564-1395,18,33111,Female,Marketing Manager,No Condition,70938
8,Matthew Foster,matthew.foster79@hotmail.com,(772) 423-8849,40,75253,Male,Accountant,No Condition,95501
9,Stephanie Ross,stephanie.ross83@gmail.com,(228) 710-1226,82,10049,Female,Electrician,Heart Disease,76233
10,James Carlson,james.carlson81@yahoo.com,(584) 801-8451,38,98118,Male,Data Analyst,No Condition,70942
11,Jeffrey Chavez,jeffrey.chavez53@hotmail.com,(348) 281-4893,38,60613,Male,Software Engineer,Asthma,119470
12,James Martin,james.martin3@hotmail.com,(109) 570-1543,46,94145,Male,Chef,No Condition,43547
13,David Bradley,david.bradley88@gmail.com,(517) 182-2782,71,33143,Male,Teacher,Hypertension,58795
14,Kelsey Obrien,kelsey.obrien24@gmail.com,(483) 465-7871,26,75262,Female,Software Engineer,No Condition,112082
15,Courtney Morgan,courtney.morgan79@hotmail.com,(183) 930-1031,26,75262,Female,Cashier,Asthma,29542
16,Scott Jones,scott.jones89@gmail.com,(847) 382-9973,38,33130,Male,Lawyer,No Condition,46406
17,Rhonda Lee,rhonda.lee25@gmail.com,(665) 667-0106,36,94131,Female,Teacher,No Condition,70798
18,Robert Rodriguez,robert.rodriguez27@gmail.com,(238) 726-2473,37,94139,Male,Cashier,Arthritis,29587
19,Jessica Callahan,jessica.callahan84@hotmail.com,(810) 801-3267,58,33141,Female,Lawyer,Heart Disease,167204
20,Cindy Morales,cindy.morales48@gmail.com,(826) 064-7468,42,60684,Female,Cashier,Asthma,26268
21,Brittney Phillips,brittney.phillips91@gmail.com,(998) 050-0978,58,10053,Female,Cashier,Arthritis,38693
22,Christopher Yu,christopher.yu13@gmail.com,(121) 913-6193,25,75262,Male,Electrician,Asthma,65877
23,Lisa Barnes,lisa.barnes9@hotmail.com,(398) 543-5346,24,10053,Female,Marketing Manager,No Condition,72155
24,Megan Evans,megan.evans25@yahoo.com,(910) 799-1183,18,33119,Female,Cashier,No Condition,29909
25,Deborah Mahoney,deborah.mahoney14@gmail.com,(135) 427-8498,50,10041,Female,Software Engineer,Diabetes,124967
26,Mary Spencer,mary.spencer92@hotmail.com,(412) 411-8244,53,60681,Female,Chef,Hypertension,53085
27,Mitchell Harris,mitchell.harris53@hotmail.com,(148) 740-1640,39,10041,Male,Chef,No Condition,38961
28,Felicia Anderson,felicia.anderson31@yahoo.com,(927) 868-0112,31,98193,Female,Cashier,No Condition,34401
29,Barry Wood,barry.wood1@hotmail.com,(426) 204-5053,53,10041,Non-binary,Lawyer,No Condition,140759
30,Mary Gomez,mary.gomez71@hotmail.com,(669) 232-2602,35,10086,Female,Accountant,No Condition,52415
31,Richard Jenkins,richard.jenkins31@hotmail.com,(834) 216-0733,48,98118,Male,Cashier,Arthritis,26176
32,Hannah Hoover,hannah.hoover44@gmail.com,(930) 365-4145,35,75262,Female,Software Engineer,No Condition,110914
33,Jennifer Zavala,jennifer.zavala85@hotmail.com,(750) 142-9401,32,10041,Female,Cashier,Cancer,34462
34,Haley Hartman,haley.hartman3@yahoo.com,(198) 169-3406,38,10086,Female,Software Engineer,Depression,70178
35,Joseph Drake,joseph.drake29@hotmail.com,(935) 615-9514,32,75262,Male,Chef,Asthma,47122
36,Ellen Ortiz,ellen.ortiz84@yahoo.com,(548) 236-6299,41,10041,Female,Accountant,Asthma,87377
37,Jennifer Bass,jennifer.bass44@yahoo.com,(443) 699-5777,21,60613,Female,Nurse,Arthritis,81823
38,Kayla Leon,kayla.leon16@hotmail.com,(421) 489-5134,47,33167,Female,Software Engineer,Asthma,113088
39,Robert Hernandez,robert.hernandez37@gmail.com,(837) 917-6936,34,98158,Male,Accountant,Asthma,74338
40,Jennifer Hernandez,jennifer.hernandez9@hotmail.com,(401) 632-8708,47,98101,Female,Nurse,Asthma,71187
41,Sylvia Martinez,sylvia.martinez44@gmail.com,(978) 895-7986,47,94145,Female,Teacher,No Condition,76218
